phase,field,summary,T32,T64,T128,T32_T64_difference,T64_T128_difference,gate,gate_applicable,passed_T64_T128
0.0,ecm_displacement,normalized_l2,,,,0.0,0.0,0.05,True,True
0.0,ecm_displacement,absolute_p95,0.0,0.0,0.0,0.0,0.0,0.05,True,True
0.0,ecm_dissipation_density,normalized_l2,,,,0.0,0.0,0.05,True,True
0.0,ecm_dissipation_density,absolute_p95,0.0,0.0,0.0,0.0,0.0,0.05,True,True
0.0,ecm_equilibrium_energy_density,normalized_l2,,,,0.0061944789351099485,0.0029699567345763955,0.05,True,True
0.0,ecm_equilibrium_energy_density,absolute_p95,1.4821901012938126e-05,1.4914665616620792e-05,1.4959150774011862e-05,0.006219690475614195,0.0029737755881405047,0.05,True,True
0.0,ecm_internal_z,normalized_l2,,,,0.00315038108125049,0.00149990466063777,0.05,True,True
0.0,ecm_internal_z,absolute_p95,0.01727666096519742,0.017331551056410904,0.017357858165947843,0.003167061680447773,0.0015155734817874486,0.05,True,True
0.0,ecm_jacobian,normalized_l2,,,,6.117647308900999e-07,3.094385257712138e-07,0.05,True,True
0.0,ecm_jacobian,absolute_p95,1.0002869522242919,1.0002879056095657,1.00028838843643,9.53110867873193e-07,4.826876627272557e-07,0.05,True,True
0.0,ecm_max_principal_cauchy_stress,normalized_l2,,,,0.003209922680216679,0.0016116244313843487,0.05,True,True
0.0,ecm_max_principal_cauchy_stress,absolute_p95,0.00829230887264659,0.008318881135565604,0.0083320032255911,0.00319421115484024,0.0015749021778091836,0.05,True,True
0.0,ecm_max_principal_green_lagrange_strain,normalized_l2,,,,0.0030938662908215698,0.0014548692182710457,0.05,True,True
0.0,ecm_max_principal_green_lagrange_strain,absolute_p95,0.0019647497150083798,0.0019708392163329067,0.0019737075980587344,0.0030898011740691563,0.0014532961866534258,0.05,True,True
0.0,ecm_viscoelastic_energy_density,normalized_l2,,,,0.006366926522681218,0.003063462463487278,0.05,True,True
0.0,ecm_viscoelastic_energy_density,absolute_p95,6.201827933740785e-05,6.24178513597135e-05,6.261114711656286e-05,0.0064015664365459505,0.003087241901022752,0.05,True,True
0.0,endocardial_displacement,normalized_l2,,,,0.0,0.0,0.05,True,True
0.0,endocardial_displacement,absolute_p95,0.0,0.0,0.0,0.0,0.0,0.05,True,True
0.0,jelly_endocardium_normal_traction,normalized_l2,,,,0.0033031573063579357,0.0015942221753151415,0.05,True,True
0.0,jelly_endocardium_normal_traction,absolute_p95,3.0528576329750036e-06,3.0614326294330804e-06,3.066847185765275e-06,0.00280097506495342,0.0017655122685363367,0.05,True,True
0.0,jelly_endocardium_tangential_traction,normalized_l2,,,,0.0029644024232901426,0.0013738773164024397,0.05,True,True
0.0,jelly_endocardium_tangential_traction,absolute_p95,0.00036350838572142053,0.0003646125126344195,0.00036513328716037465,0.003028220027396673,0.0014262586958455276,0.05,True,True
0.0,jelly_endocardium_traction_magnitude,normalized_l2,,,,0.0030082826255767026,0.0014027019393852362,0.05,True,True
0.0,jelly_endocardium_traction_magnitude,absolute_p95,0.0004123374135694519,0.0004136578405447138,0.00041429896107487074,0.003192075299535359,0.0015474828333954611,0.05,True,True
0.0,myocyte_displacement,normalized_l2,,,,0.0,0.0,0.05,True,True
0.0,myocyte_displacement,absolute_p95,0.0,0.0,0.0,0.0,0.0,0.05,True,True
0.0,myocyte_jelly_normal_traction,normalized_l2,,,,0.003232576890533955,0.0015547206280178139,0.05,True,True
0.0,myocyte_jelly_normal_traction,absolute_p95,5.5500648099675124e-05,5.566399491709043e-05,5.570477972263903e-05,0.0029345148090539684,0.0007321598927716933,0.05,True,True
0.0,myocyte_jelly_tangential_traction,normalized_l2,,,,0.0031139625712103816,0.0014926663433959056,0.05,True,True
0.0,myocyte_jelly_tangential_traction,absolute_p95,0.0023161886310881824,0.0023234060670777913,0.002326872953712552,0.003106403177592825,0.0014899337882754158,0.05,True,True
0.0,myocyte_jelly_traction_magnitude,normalized_l2,,,,0.003114650647456048,0.0014930083325348177,0.05,True,True
0.0,myocyte_jelly_traction_magnitude,absolute_p95,0.0023161886310881824,0.0023234060670777913,0.002326872953712552,0.003106403177592825,0.0014899337882754158,0.05,True,True
0.25,ecm_displacement,normalized_l2,,,,0.0005319142352993064,0.00025972627003726154,0.05,True,True
0.25,ecm_displacement,absolute_p95,0.010825290472323236,0.010824542893291423,0.010824161129778435,6.905856556218915e-05,3.526832650129695e-05,0.05,True,True
0.25,ecm_dissipation_density,normalized_l2,,,,0.0033613158777333276,0.0012702525573231075,0.05,True,True
0.25,ecm_dissipation_density,absolute_p95,6.364008199530371e-07,6.34123717914605e-07,6.332524830552682e-07,0.0035780941303629366,0.001373919370500619,0.05,True,True
