branch,stage,edge_index,local_0,local_1,persistent_0,persistent_1,face_0,face_1,manifold
frozen_main,before_split,0,0,1,0,1,0,1,True
frozen_main,before_split,1,0,2,0,2,0,2,True
frozen_main,before_split,2,1,2,1,2,0,5,True
frozen_main,before_split,3,0,3,0,3,1,6,True
frozen_main,before_split,4,1,3,1,3,1,8,True
frozen_main,before_split,5,0,4,0,4,2,7,True
frozen_main,before_split,6,2,4,2,4,2,3,True
frozen_main,before_split,7,1,5,1,5,5,8,True
frozen_main,before_split,8,2,5,2,5,4,5,True
frozen_main,before_split,9,0,7,0,7,6,7,True
frozen_main,before_split,10,3,5,3,5,8,9,True
frozen_main,before_split,11,2,6,2,6,3,4,True
frozen_main,before_split,12,4,5,4,5,10,11,True
frozen_main,before_split,13,4,6,4,6,3,10,True
frozen_main,before_split,14,3,7,3,7,6,9,True
frozen_main,before_split,15,5,6,5,6,4,10,True
frozen_main,before_split,16,4,7,4,7,7,11,True
frozen_main,before_split,17,5,7,5,7,9,11,True
frozen_main,after_split,0,0,2,0,2,2,1,True
frozen_main,after_split,1,1,2,1,2,5,0,True
frozen_main,after_split,2,0,3,0,3,6,12,True
frozen_main,after_split,3,1,3,1,3,8,13,True
frozen_main,after_split,4,0,4,0,4,2,7,True
frozen_main,after_split,5,2,4,2,4,2,3,True
frozen_main,after_split,6,1,5,1,5,5,8,True
frozen_main,after_split,7,2,5,2,5,4,5,True
frozen_main,after_split,8,0,7,0,7,6,7,True
frozen_main,after_split,9,3,5,3,5,8,9,True
frozen_main,after_split,10,2,6,2,6,3,4,True
frozen_main,after_split,11,0,8,0,8,1,12,True
frozen_main,after_split,12,4,5,4,5,10,11,True
frozen_main,after_split,13,1,8,1,8,0,13,True
frozen_main,after_split,14,4,6,4,6,3,10,True
frozen_main,after_split,15,3,7,3,7,6,9,True
frozen_main,after_split,16,2,8,2,8,1,0,True
frozen_main,after_split,17,5,6,5,6,4,10,True
frozen_main,after_split,18,4,7,4,7,7,11,True
frozen_main,after_split,19,3,8,3,8,12,13,True
frozen_main,after_split,20,5,7,5,7,9,11,True
frozen_main,before_merge_frozen,0,0,2,0,2,2,1,True
frozen_main,before_merge_frozen,1,1,2,1,2,5,0,True
frozen_main,before_merge_frozen,2,0,3,0,3,6,12,True
frozen_main,before_merge_frozen,3,1,3,1,3,8,13,True
frozen_main,before_merge_frozen,4,0,4,0,4,2,7,True
frozen_main,before_merge_frozen,5,2,4,2,4,2,3,True
frozen_main,before_merge_frozen,6,1,5,1,5,5,8,True
frozen_main,before_merge_frozen,7,2,5,2,5,4,5,True
frozen_main,before_merge_frozen,8,0,7,0,7,6,7,True
frozen_main,before_merge_frozen,9,3,5,3,5,8,9,True
frozen_main,before_merge_frozen,10,2,6,2,6,3,4,True
frozen_main,before_merge_frozen,11,0,8,0,8,1,12,True
frozen_main,before_merge_frozen,12,4,5,4,5,10,11,True
frozen_main,before_merge_frozen,13,1,8,1,8,0,13,True
frozen_main,before_merge_frozen,14,4,6,4,6,3,10,True
frozen_main,before_merge_frozen,15,3,7,3,7,6,9,True
frozen_main,before_merge_frozen,16,2,8,2,8,1,0,True
frozen_main,before_merge_frozen,17,5,6,5,6,4,10,True
frozen_main,before_merge_frozen,18,4,7,4,7,7,11,True
frozen_main,before_merge_frozen,19,3,8,3,8,12,13,True
frozen_main,before_merge_frozen,20,5,7,5,7,9,11,True
frozen_main,after_merge_frozen,0,1,2,1,2,5,0,True
frozen_main,after_merge_frozen,1,1,3,1,3,8,13,True
frozen_main,after_merge_frozen,2,2,4,2,4,2,3,True
frozen_main,after_merge_frozen,3,1,5,1,5,5,8,True
frozen_main,after_merge_frozen,4,2,5,2,5,4,5,True
frozen_main,after_merge_frozen,5,3,5,3,5,8,9,True
frozen_main,after_merge_frozen,6,2,6,2,6,3,4,True
frozen_main,after_merge_frozen,7,4,5,4,5,10,11,True
frozen_main,after_merge_frozen,8,4,6,4,6,3,10,True
frozen_main,after_merge_frozen,9,3,7,3,7,6,9,True
frozen_main,after_merge_frozen,10,1,9,1,9,0,13,True
frozen_main,after_merge_frozen,11,5,6,5,6,4,10,True
frozen_main,after_merge_frozen,12,4,7,4,7,7,11,True
frozen_main,after_merge_frozen,13,2,9,2,9,2,0,True
frozen_main,after_merge_frozen,14,5,7,5,7,9,11,True
frozen_main,after_merge_frozen,15,3,9,3,9,6,13,True
frozen_main,after_merge_frozen,16,4,9,4,9,2,7,True
frozen_main,after_merge_frozen,17,7,9,7,9,6,7,True
