branch,stage,local_id,persistent_id,x,y,z
frozen_main,before_split,0,0,0,0,0
frozen_main,before_split,1,1,0,-3,0
frozen_main,before_split,2,2,-1,-1.5,0
frozen_main,before_split,3,3,1,-1.5,0
frozen_main,before_split,4,4,0,0,-1
frozen_main,before_split,5,5,0,-3,-1
frozen_main,before_split,6,6,-1,-1.5,-1
frozen_main,before_split,7,7,1,-1.5,-1
frozen_main,after_split,0,0,0,0,0
frozen_main,after_split,1,1,0,-3,0
frozen_main,after_split,2,2,-1,-1.5,0
frozen_main,after_split,3,3,1,-1.5,0
frozen_main,after_split,4,4,0,0,-1
frozen_main,after_split,5,5,0,-3,-1
frozen_main,after_split,6,6,-1,-1.5,-1
frozen_main,after_split,7,7,1,-1.5,-1
frozen_main,after_split,8,8,0,-1.5,0
frozen_main,before_merge_frozen,0,0,0,0,0
frozen_main,before_merge_frozen,1,1,0,-3,0
frozen_main,before_merge_frozen,2,2,-1,-1.5,0
frozen_main,before_merge_frozen,3,3,1,-1.5,0
frozen_main,before_merge_frozen,4,4,0,0,-1
frozen_main,before_merge_frozen,5,5,0,-3,-1
frozen_main,before_merge_frozen,6,6,-1,-1.5,-1
frozen_main,before_merge_frozen,7,7,1,-1.5,-1
frozen_main,before_merge_frozen,8,8,0,-1.5,0
frozen_main,after_merge_frozen,1,1,0,-3,0
frozen_main,after_merge_frozen,2,2,-1,-1.5,0
frozen_main,after_merge_frozen,3,3,1,-1.5,0
frozen_main,after_merge_frozen,4,4,0,0,-1
frozen_main,after_merge_frozen,5,5,0,-3,-1
frozen_main,after_merge_frozen,6,6,-1,-1.5,-1
frozen_main,after_merge_frozen,7,7,1,-1.5,-1
frozen_main,after_merge_frozen,9,9,0,-0.75,0
