step_index,time,alpha,acceptance_source,initial_objective,accepted_objective,strict_potential_descent,projected_residual,gauge_increment_residual,optimizer_iterations,optimizer_evaluations,optimizer_reported_success,optimizer_message,callback_count,qualifying_evaluation_index,geometry_finite,geometry_signed_volume,geometry_relative_volume,geometry_minimum_face_area_ratio,geometry_minimum_orientation_cosine,geometry_flipped_face_count,geometry_degenerate_face_count
0,0,0,initial_reference_state,1.3548642195297149e-33,1.3548642195297149e-33,0,0,0,0,1,1,initial_reference_state,0,0,1,0.29999437366882148,1,1,0.99999999999999978,0,0
1,0.01,0,initial_state_physical_gate,1.3548642195297149e-33,1.3548642195297149e-33,0,9.5117249231237466e-17,0,0,1,1,initial_state_satisfies_physical_gate,0,0,1,0.29999437366882148,1,1,0.99999999999999978,0,0
2,0.02,0,initial_state_physical_gate,1.3548642195297149e-33,1.3548642195297149e-33,0,9.5117249231237466e-17,0,0,1,1,initial_state_satisfies_physical_gate,0,0,1,0.29999437366882148,1,1,0.99999999999999978,0,0
3,0.029999999999999999,0,initial_state_physical_gate,1.3548642195297149e-33,1.3548642195297149e-33,0,9.5117249231237466e-17,0,0,1,1,initial_state_satisfies_physical_gate,0,0,1,0.29999437366882148,1,1,0.99999999999999978,0,0
4,0.040000000000000001,0,initial_state_physical_gate,1.3548642195297149e-33,1.3548642195297149e-33,0,9.5117249231237466e-17,0,0,1,1,initial_state_satisfies_physical_gate,0,0,1,0.29999437366882148,1,1,0.99999999999999978,0,0
5,0.050000000000000003,0,initial_state_physical_gate,1.3548642195297149e-33,1.3548642195297149e-33,0,9.5117249231237466e-17,0,0,1,1,initial_state_satisfies_physical_gate,0,0,1,0.29999437366882148,1,1,0.99999999999999978,0,0
6,0.059999999999999998,0,initial_state_physical_gate,1.3548642195297149e-33,1.3548642195297149e-33,0,9.5117249231237466e-17,0,0,1,1,initial_state_satisfies_physical_gate,0,0,1,0.29999437366882148,1,1,0.99999999999999978,0,0
7,0.070000000000000007,0,initial_state_physical_gate,1.3548642195297149e-33,1.3548642195297149e-33,0,9.5117249231237466e-17,0,0,1,1,initial_state_satisfies_physical_gate,0,0,1,0.29999437366882148,1,1,0.99999999999999978,0,0
8,0.080000000000000002,0,initial_state_physical_gate,1.3548642195297149e-33,1.3548642195297149e-33,0,9.5117249231237466e-17,0,0,1,1,initial_state_satisfies_physical_gate,0,0,1,0.29999437366882148,1,1,0.99999999999999978,0,0
9,0.089999999999999997,0,initial_state_physical_gate,1.3548642195297149e-33,1.3548642195297149e-33,0,9.5117249231237466e-17,0,0,1,1,initial_state_satisfies_physical_gate,0,0,1,0.29999437366882148,1,1,0.99999999999999978,0,0
10,0.10000000000000001,0,initial_state_physical_gate,1.3548642195297149e-33,1.3548642195297149e-33,0,9.5117249231237466e-17,0,0,1,1,initial_state_satisfies_physical_gate,0,0,1,0.29999437366882148,1,1,0.99999999999999978,0,0
