phase,field,summary,T16,T32,T64,T16_T32_difference,T32_T64_difference,gate,passed_T32_T64
0.0,ecm_displacement,normalized_l2,,,,0.0,0.0,0.05,True
0.0,ecm_displacement,absolute_p95,0.0,0.0,0.0,0.0,0.0,0.05,True
0.0,ecm_dissipation_density,normalized_l2,,,,0.0,0.0,0.05,True
0.0,ecm_dissipation_density,absolute_p95,0.0,0.0,0.0,0.0,0.0,0.05,True
0.0,ecm_equilibrium_energy_density,normalized_l2,,,,0.014374210909925139,0.0061944789351099485,0.05,True
0.0,ecm_equilibrium_energy_density,absolute_p95,1.4608083785221369e-05,1.4821901012938126e-05,1.4914665616620792e-05,0.014425762763502112,0.006219690475614195,0.05,True
0.0,ecm_internal_z,normalized_l2,,,,0.007211162560909367,0.00315038108125049,0.05,True
0.0,ecm_internal_z,absolute_p95,0.0171546542478256,0.01727666096519742,0.017331551056410904,0.007061938508696572,0.003167061680447773,0.05,True
0.0,ecm_jacobian,normalized_l2,,,,1.2262521439648912e-06,6.117647308900999e-07,0.05,True
0.0,ecm_jacobian,absolute_p95,1.0002851321310342,1.0002869522242919,1.0002879056095657,1.8195711276827328e-06,9.53110867873193e-07,0.05,True
0.0,ecm_max_principal_cauchy_stress,normalized_l2,,,,0.006491273610652134,0.003209922680216679,0.05,True
0.0,ecm_max_principal_cauchy_stress,absolute_p95,0.008237204175361947,0.00829230887264659,0.008318881135565604,0.006645277947426017,0.00319421115484024,0.05,True
0.0,ecm_max_principal_green_lagrange_strain,normalized_l2,,,,0.00745919707959163,0.0030938662908215698,0.05,True
0.0,ecm_max_principal_green_lagrange_strain,absolute_p95,0.001950185217169985,0.0019647497150083798,0.0019708392163329067,0.007412902379951553,0.0030898011740691563,0.05,True
0.0,ecm_viscoelastic_energy_density,normalized_l2,,,,0.014045877828213444,0.006366926522681218,0.05,True
0.0,ecm_viscoelastic_energy_density,absolute_p95,6.114824478672136e-05,6.201827933740785e-05,6.24178513597135e-05,0.01402867928587796,0.0064015664365459505,0.05,True
0.0,endocardial_displacement,normalized_l2,,,,0.0,0.0,0.05,True
0.0,endocardial_displacement,absolute_p95,0.0,0.0,0.0,0.0,0.0,0.05,True
0.0,jelly_endocardium_normal_traction,normalized_l2,,,,0.006067255274695582,0.0033031573063579357,0.05,True
0.0,jelly_endocardium_normal_traction,absolute_p95,3.0225912844906407e-06,3.0528576329750036e-06,3.0614326294330804e-06,0.009914104135563123,0.00280097506495342,0.05,True
0.0,jelly_endocardium_tangential_traction,normalized_l2,,,,0.007568999931499654,0.0029644024232901426,0.05,True
0.0,jelly_endocardium_tangential_traction,absolute_p95,0.0003608057952736154,0.00036350838572142053,0.0003646125126344195,0.007434740308511833,0.003028220027396673,0.05,True
0.0,jelly_endocardium_traction_magnitude,normalized_l2,,,,0.007393271155538821,0.0030082826255767026,0.05,True
0.0,jelly_endocardium_traction_magnitude,absolute_p95,0.0004097586233533831,0.0004123374135694519,0.0004136578405447138,0.006254077682995471,0.003192075299535359,0.05,True
0.0,myocyte_displacement,normalized_l2,,,,0.0,0.0,0.05,True
0.0,myocyte_displacement,absolute_p95,0.0,0.0,0.0,0.0,0.0,0.05,True
0.0,myocyte_jelly_normal_traction,normalized_l2,,,,0.007051545750308438,0.003232576890533955,0.05,True
0.0,myocyte_jelly_normal_traction,absolute_p95,5.486537443087073e-05,5.5500648099675124e-05,5.566399491709043e-05,0.011446238747761753,0.0029345148090539684,0.05,True
0.0,myocyte_jelly_tangential_traction,normalized_l2,,,,0.007192915631687539,0.0031139625712103816,0.05,True
0.0,myocyte_jelly_tangential_traction,absolute_p95,0.002299524816780896,0.0023161886310881824,0.0023234060670777913,0.007194497928028297,0.003106403177592825,0.05,True
0.0,myocyte_jelly_traction_magnitude,normalized_l2,,,,0.007192012973942942,0.003114650647456048,0.05,True
0.0,myocyte_jelly_traction_magnitude,absolute_p95,0.002299524816780896,0.0023161886310881824,0.0023234060670777913,0.007194497928028297,0.003106403177592825,0.05,True
0.25,ecm_displacement,normalized_l2,,,,0.0011479054012898573,0.0005319142352993064,0.05,True
0.25,ecm_displacement,absolute_p95,0.010826688575570143,0.010825290472323236,0.010824542893291423,0.00012913489079772512,6.905856556218915e-05,0.05,True
0.25,ecm_dissipation_density,normalized_l2,,,,0.01459239299676016,0.0033613158777333276,0.05,True
0.25,ecm_dissipation_density,absolute_p95,6.466790788205998e-07,6.364008199530371e-07,6.34123717914605e-07,0.0158939096751174,0.0035780941303629366,0.05,True
0.25,ecm_equilibrium_energy_density,normalized_l2,,,,0.00012597089001362222,8.950648344141004e-05,0.05,True
0.25,ecm_equilibrium_energy_density,absolute_p95,0.00029113254911157944,0.0002911360883925287,0.00029111497591454046,1.2156792271284995e-05,7.251755735544802e-05,0.05,True
0.25,ecm_internal_z,normalized_l2,,,,0.0010373231751328491,0.0002707519409440832,0.05,True
