kind,quantity,T16,T32,T64,T16_T32_difference,T32_T64_difference,gate,gate_unit,passed_T32_T64,order_status,observed_order,richardson_extrapolated
waveform_normalized_l2,axial_shortening,,,,0.006357678007434062,0.0015912718691337394,0.02,relative,True,not_applicable_to_waveform_norm,,
waveform_normalized_l2,maximum_discrete_interface_traction,,,,0.00628699843906627,0.0031023085802316806,0.02,relative,True,not_applicable_to_waveform_norm,,
waveform_normalized_l2,p95_discrete_interface_traction,,,,0.006180555273391622,0.0031567640965137586,0.02,relative,True,not_applicable_to_waveform_norm,,
waveform_normalized_l2,total_stored_energy,,,,0.015759346164205185,0.003954152036545969,0.02,relative,True,not_applicable_to_waveform_norm,,
waveform_normalized_l2,ecm_equilibrium_energy,,,,0.007448337034951778,0.0016637529036441056,0.02,relative,True,not_applicable_to_waveform_norm,,
waveform_normalized_l2,ecm_viscoelastic_energy,,,,0.03311338004959951,0.010744468327972772,0.02,relative,True,not_applicable_to_waveform_norm,,
waveform_normalized_l2,ecm_internal_z_norm,,,,0.004086566806936651,0.00198220839656745,0.02,relative,True,not_applicable_to_waveform_norm,,
cycle_integral,axial_shortening,0.06268173586763984,0.06268197522047955,0.062682092037969,3.818527397596709e-06,1.863650137503795e-06,0.02,relative,True,richardson_estimated,1.0348826375921558,0.06268220340440987
peak_amplitude,axial_shortening,0.116881926098652,0.11688184930018086,0.11688180502223156,6.57060280417023e-07,3.7882656350980873e-07,0.02,relative,True,richardson_estimated,0.7944891842905467,0.11688174473608962
peak_phase,axial_shortening,0.5,0.5,0.5,0.0,0.0,0.01,absolute_phase,True,order_not_identifiable,,
cycle_integral,maximum_discrete_interface_traction,0.04946270665724571,0.049477666569694746,0.049466556955073154,0.0003023568710129488,0.0002245379661537356,0.02,relative,True,nonmonotone_time_refinement,,
peak_amplitude,maximum_discrete_interface_traction,0.09770945804573648,0.09772274091466808,0.09773026240604622,0.00013592403167646873,7.69617434044424e-05,0.02,relative,True,richardson_estimated,0.8204761280316618,0.09774008172998856
peak_phase,maximum_discrete_interface_traction,0.5,0.5,0.5,0.0,0.0,0.01,absolute_phase,True,order_not_identifiable,,
cycle_integral,p95_discrete_interface_traction,0.04337247479390492,0.04338802909276471,0.043378565342606035,0.0003584928650833531,0.0002181189225820508,0.02,relative,True,nonmonotone_time_refinement,,
peak_amplitude,p95_discrete_interface_traction,0.08520280949955822,0.08521351439302109,0.08521964226706547,0.00012562436297956653,7.190682665821778e-05,0.02,relative,True,richardson_estimated,0.8048118890720605,0.08522784647964798
peak_phase,p95_discrete_interface_traction,0.5,0.5,0.5,0.0,0.0,0.01,absolute_phase,True,order_not_identifiable,,
cycle_integral,total_stored_energy,0.002459441382422251,0.0024594796333975598,0.0024594988572909466,1.555246678574247e-05,7.816183093515072e-06,0.02,relative,True,richardson_estimated,0.9925959809461036,0.002459518280031568
peak_amplitude,total_stored_energy,0.03918034002251928,0.03918039600178995,0.03918042877792632,1.4287571434384144e-06,8.36543585402276e-07,0.02,relative,True,richardson_estimated,0.772246890403442,0.039180475076633255
peak_phase,total_stored_energy,0.5,0.5,0.5,0.0,0.0,0.01,absolute_phase,True,order_not_identifiable,,
cycle_integral,ecm_equilibrium_energy,3.216540206417213e-05,3.215659267914393e-05,3.2147458613489675e-05,0.000273877659313137,0.0002840495491980103,0.02,relative,True,nonmonotone_time_refinement,,
peak_amplitude,ecm_equilibrium_energy,7.434879999964136e-05,7.426534393256616e-05,7.421790410182468e-05,0.0011224938005132527,0.000638788272287,0.02,relative,True,richardson_estimated,0.8149180716390138,7.415541735223964e-05
peak_phase,ecm_equilibrium_energy,0.5,0.5,0.5,0.0,0.0,0.01,absolute_phase,True,order_not_identifiable,,
cycle_integral,ecm_viscoelastic_energy,2.4105924726158705e-06,2.439723755184339e-06,2.4543135313025945e-06,0.011940402066654195,0.005944544546642424,0.02,relative,True,richardson_estimated,0.997611475573963,2.4689517373171924e-06
peak_amplitude,ecm_viscoelastic_energy,5.1562219478204835e-06,5.226610902098704e-06,5.264816292852279e-06,0.01346741810260953,0.007256737676762634,0.02,relative,True,richardson_estimated,0.8815728371621988,5.3101702475663234e-06
peak_phase,ecm_viscoelastic_energy,1.0,1.0,0.984375,0.0,0.015625,0.01,absolute_phase,False,nonmonotone_time_refinement,,
cycle_integral,ecm_internal_z_norm,0.4825887020529023,0.4831419478574228,0.4832386717228212,0.0011450999172686336,0.00020015754338027043,0.02,relative,True,richardson_estimated,2.5159767999366145,0.48325916472728797
peak_amplitude,ecm_internal_z_norm,0.5099638349182269,0.5106435541723519,0.5107450556046068,0.0013311031708342935,0.0001987320897992896,0.02,relative,True,richardson_estimated,2.743438905044072,0.5107628733548735
peak_phase,ecm_internal_z_norm,0.6875,0.71875,0.734375,0.03125,0.015625,0.01,absolute_phase,False,richardson_estimated,1.0,0.75
cycle_dissipation,ecm_dissipation,2.487461262224168e-06,2.478206805882001e-06,2.473576652161094e-06,0.003720442397519848,0.001868348400108126,0.05,relative,True,richardson_estimated,0.9990881490227923,2.4689406399371834e-06
