level,phase,step,normalized_kkt_residual,coupling_residual,coupling_iterations,minimum_ecm_jacobian,minimum_gap
T16,0.25,4,2.6259644553228085e-09,2.504350009868403e-06,10,0.9929997440497264,0.026903668638175376
T16,0.6875,11,9.470090553906327e-06,8.05564786284652e-05,2,0.990784342454978,0.022145924655739783
T16,0.8125,13,2.280574257672253e-09,1.67703385364078e-06,4,0.9951161064956189,0.03213577542397077
T16,0.875,14,1.3269175641350774e-09,1.0690333617120155e-06,3,0.9971187487652431,0.03661800850592292
T32,0.25,8,5.251577405999637e-09,4.541059119410792e-06,2,0.9930008155721878,0.026903606011974016
T32,0.6875,22,1.866220953576758e-08,1.4670963247140857e-05,2,0.9907825123870732,0.022155302240340596
T32,0.8125,26,2.1819171871463548e-08,1.7015308048088345e-05,2,0.9951130249653256,0.032138059719586505
T32,0.875,28,4.028582258758284e-08,3.1670777779690296e-05,2,0.9971136858074732,0.036621398889332246
T64,0.25,16,1.322025351108279e-09,1.1389569425724224e-06,2,0.9930012968329701,0.02690354600868773
T64,0.6875,44,4.725491770650778e-09,3.6853769453192544e-06,2,0.9907835176552657,0.022154877445733877
T64,0.8125,52,5.486828931279581e-09,4.272408028184843e-06,2,0.9951117203269171,0.032138997470834346
T64,0.875,56,1.015300249592527e-08,7.942240621382555e-06,2,0.9971113696828995,0.03662290096151097
T64,0.234375,15,1.3515466903565645e-07,9.132849132309156e-05,1,0.9935603929849797,0.02820158636068205
