level,phase,step,normalized_kkt_residual,coupling_residual,coupling_iterations,minimum_ecm_jacobian,minimum_gap
T32,0.25,8,5.251577405999637e-09,4.541059119410792e-06,2,0.9930008155721878,0.026903606011974016
T32,0.6875,22,1.866220953576758e-08,1.4670963247140857e-05,2,0.9907825123870732,0.022155302240340596
T32,0.8125,26,2.1819171871463548e-08,1.7015308048088345e-05,2,0.9951130249653256,0.032138059719586505
T32,0.875,28,4.028582258758284e-08,3.1670777779690296e-05,2,0.9971136858074732,0.036621398889332246
T64,0.25,16,1.322025351108279e-09,1.1389569425724224e-06,2,0.9930012968329701,0.02690354600868773
T64,0.6875,44,4.725491770650778e-09,3.6853769453192544e-06,2,0.9907835176552657,0.022154877445733877
T64,0.8125,52,5.486828931279581e-09,4.272408028184843e-06,2,0.9951117203269171,0.032138997470834346
T64,0.875,56,1.015300249592527e-08,7.942240621382555e-06,2,0.9971113696828995,0.03662290096151097
T128,0.25,32,3.4141005725572773e-10,2.853568790115197e-07,2,0.9930015031409269,0.026903506004859974
T128,0.6875,88,1.2211719001133897e-09,9.239158374242015e-07,2,0.9907840564951208,0.022154616649510822
T128,0.8125,104,1.4156164575920765e-09,1.0702522948330411e-06,2,0.9951111017757166,0.03213942185896509
T128,0.875,112,2.5723229532446203e-09,1.9885379994551133e-06,2,0.997110234900303,0.036623614645113
T128,0.234375,30,6.67095927878642e-08,4.573225303873054e-05,1,0.9935603940384851,0.02820157351104989
T128,0.7421875,95,1.1079665378464154e-07,8.340595934889425e-05,1,0.9926023023554928,0.026334683063103135
T128,0.75,96,9.982294632931214e-08,7.045217971257345e-05,1,0.9928785378805581,0.026976304466754822
