cycle,step,t_over_T,time,activation,activation_rate,axial_shortening,maximum_discrete_interface_traction,p95_discrete_interface_traction,total_stored_energy,ecm_equilibrium_energy,ecm_viscoelastic_energy,ecm_internal_z_norm,ecm_dissipation_step,cumulative_ecm_dissipation,coupling_iterations,coupling_residual,solve_seconds,normalized_kkt_residual,volume_constraint_residual,minimum_ecm_jacobian,maximum_ecm_jacobian,minimum_gap,minimum_myocyte_face_area_ratio,minimum_endocardial_face_area_ratio,internal_symmetry_residual,internal_trace_residual,passed
2,0,0.0,1.0,0.0,0.0,2.2213053931796622e-05,0.0024056970268536,0.0022137606273212105,-0.018618351531536806,1.4523768048443794e-06,5.275116283956274e-06,0.4808948535067956,0.0,0.0,0,0.0,0.0,3.598376867108325e-09,1.1102230246251565e-16,0.9990178495169516,1.0010336004331324,0.03911799501221127,0.9999451351702635,0.9994307692828954,0.0,3.469446951953614e-18,True
2,1,0.0078125,1.0078125,0.0001204543794827595,0.030830129039150587,0.00011340793268477256,0.0023361900180752415,0.002151405782879476,-0.01861839396951836,1.4554250550897514e-06,5.230052396061459e-06,0.4795014938712652,4.10197571778197e-08,4.10197571778197e-08,2,2.8846782148089614e-06,44.715638793073595,3.587173250792574e-09,3.3306690738754696e-16,0.9990131752858298,1.0010351495714953,0.03911616616189445,0.9998816770200208,0.9994313731150851,0.0,3.469446951953614e-18,True
2,2,0.015625,1.015625,0.00048152733278030715,0.061585985597045485,0.0003855867237431143,0.002142205875395015,0.001971095050823875,-0.018618228212537623,1.4813077756990921e-06,5.157350074909685e-06,0.47811785105910537,4.044954653095226e-08,8.146930370877196e-08,2,2.8733600322667067e-06,42.136144964024425,3.6137105269546e-09,3.3306690738754696e-16,0.9989928161822708,1.0010463265598584,0.03910523750054262,0.9996559055442321,0.9994302952376614,0.0,3.469446951953614e-18,True
2,3,0.0234375,1.0234375,0.0010823490035218985,0.09219347612134185,0.0008304228316088347,0.0018252172142513554,0.00169144120409879,-0.01861722464709802,1.530674257462475e-06,5.057834352207136e-06,0.4767476201724154,3.966903603669643e-08,1.211383397454684e-07,2,2.853767216472872e-06,44.9094651970081,3.7982447666096425e-09,1.1102230246251565e-16,0.998956803797635,1.0010671352509326,0.0390851403204318,0.9992370380258214,0.9994275176479682,0.0,3.469446951953614e-18,True
2,4,0.03125,1.03125,0.001921471959676957,0.12257886448646711,0.0014509474687145474,0.001386136177953828,0.001280089077732375,-0.018614340303638326,1.60470718410904e-06,4.932655191840271e-06,0.47539444893856736,3.8687244962129166e-08,1.5982558470759755e-07,2,2.826519862781843e-06,43.76881557889283,3.697329871241637e-09,0.0,0.9989053393278757,1.0011012885346895,0.039056121583479084,0.998652600563636,0.9994230572573363,0.0,3.469446951953614e-18,True
2,5,0.0390625,1.0390625,0.0029968746805456026,0.152668949630404,0.0022448799189568325,0.0009248511873953268,0.0007802038424748844,-0.01860812794943722,1.7051108358476077e-06,4.78324721837716e-06,0.47406192569681777,3.751542519288492e-08,1.9734100990048247e-07,2,2.791455220040723e-06,48.84260877314955,3.6881766821292387e-09,1.1102230246251565e-16,0.9988386068351881,1.0011537606869276,0.03901827402391684,0.9979045758942857,0.9994169163860642,0.0,3.469446951953614e-18,True
2,6,0.046875,1.046875,0.004305966426779118,0.1823912419024606,0.003209311274641524,0.0005172766003481862,0.0004082851273872915,-0.01859674879923244,1.8340593022398866e-06,4.611331021961655e-06,0.4727535650836229,3.616707146755541e-08,2.3350808136803789e-07,2,2.7486517125371144e-06,51.15941474912688,3.723461940205938e-09,1.1102230246251565e-16,0.9987568659653483,1.0012182728141057,0.038971770623712876,0.996995493224053,0.9994090998404787,0.0,3.469446951953614e-18,True
2,7,0.0546875,1.0546875,0.00584559348169792,0.21167413769718818,0.004340747587947891,0.0010035267093019989,0.0007519150442259551,-0.01857798883461885,1.993974569800964e-06,4.419043095214831e-06,0.47147277407413324,3.465894048414103e-08,2.6816702185217893e-07,2,2.6987065665001636e-06,59.653938512085006,3.568933737543366e-09,5.551115123125783e-16,0.9986608614519786,1.0012937992461568,0.038917103382176944,0.9959284019324389,0.9993998076041399,0.0,3.469446951953614e-18,True
2,8,0.0625,1.0625,0.007612046748871327,0.2404470919537385,0.005635056467631405,0.0019039623201216969,0.0016006246823138488,-0.018549278675672052,2.1879163812814223e-06,4.20846802536257e-06,0.4702228741015494,3.300738184210003e-08,3.0117440369427895e-07,2,2.641658560249691e-06,48.29138920106925,3.2638657325127758e-09,4.440892098500626e-16,0.9985506076965659,1.001380562364982,0.03885413413334424,0.9947068640626866,0.9993893583852882,0.0,3.469446951953614e-18,True
2,9,0.0703125,1.0703125,0.009601070687655667,0.26864078810509434,0.007087555679954116,0.0029364683707135525,0.0025476188508596854,-0.018507716871012964,2.418806283857696e-06,3.982269699228926e-06,0.46900703577563124,3.123328863817374e-08,3.324076923324527e-07,2,2.5764248490492857e-06,44.71889854106121,3.2181141545908076e-09,3.3306690738754696e-16,0.9984267375324479,1.0014769811770243,0.038783755423974636,0.9933349796052972,0.9993765507498525,0.0,3.469446951953614e-18,True
