criterion,observed
trajectories,1
mesh_scales,1
analytic,0
self,1
time,1
geometry,1
energy,1
local,1
buffers,1
min_alignment,0.99999997290602805
min_q,0.93750290702806216
min_face_ratio,0.9998276208355581
max_cache,1.1654428776347817e-16
max_centroid,1.6882136130237922e-15
max_energy,3.3249024395465112e-11
max_v5_excursion,0.14907345589013393
max_ring_excursion,0.14907345589013393
max_v5_h,0.0001853231892446462
max_ring_h,0.0001853231892446462
max_edge,8.1159722811197099e-06
min_local_q_ratio,0.99999589739085981
passed,0
