scope,criterion,operator,threshold,observed,passed
structural_level_1,homogeneity_residual,less_equal,1e-12,3.5733531886103011e-16,true
structural_level_1,mean_velocity_residual,less_equal,1e-12,0,true
structural_level_1,dual_area_closure,less_equal,1e-12,1.1102230246251565e-16,true
structural_level_1,net_force_residual,less_equal,1e-12,5.3303039072845886e-17,true
structural_level_1,radius_consistency,less_equal,1e-12,2.2204460492503131e-16,true
structural_level_1,maximum_position_displacement,equal,0,0,true
structural_level_1,position_hash_unchanged,equal,true,true,true
structural_level_1,state_hash_unchanged,equal,true,true,true
structural_level_1,force_buffer_norm_after,equal,0,0,true
structural_level_1,force_buffers_cleared,equal,true,true,true
structural_level_2,homogeneity_residual,less_equal,1e-12,7.8816656801807944e-16,true
structural_level_2,mean_velocity_residual,less_equal,1e-12,2.1684043449710089e-16,true
structural_level_2,dual_area_closure,less_equal,1e-12,2.220446049250313e-16,true
structural_level_2,net_force_residual,less_equal,1e-12,7.375992710396884e-17,true
structural_level_2,radius_consistency,less_equal,1e-12,2.2204460492503131e-16,true
structural_level_2,maximum_position_displacement,equal,0,0,true
structural_level_2,position_hash_unchanged,equal,true,true,true
structural_level_2,state_hash_unchanged,equal,true,true,true
structural_level_2,force_buffer_norm_after,equal,0,0,true
structural_level_2,force_buffers_cleared,equal,true,true,true
structural_level_3,homogeneity_residual,less_equal,1e-12,1.9975511246778127e-15,true
structural_level_3,mean_velocity_residual,less_equal,1e-12,1.3010426069826053e-15,true
structural_level_3,dual_area_closure,less_equal,1e-12,1.3322676295501878e-15,true
structural_level_3,net_force_residual,less_equal,1e-12,3.3282590028655809e-16,true
structural_level_3,radius_consistency,less_equal,1e-12,2.2204460492503131e-16,true
structural_level_3,maximum_position_displacement,equal,0,0,true
structural_level_3,position_hash_unchanged,equal,true,true,true
structural_level_3,state_hash_unchanged,equal,true,true,true
structural_level_3,force_buffer_norm_after,equal,0,0,true
structural_level_3,force_buffers_cleared,equal,true,true,true
structural_level_4,homogeneity_residual,less_equal,1e-12,4.2016853121259122e-15,true
structural_level_4,mean_velocity_residual,less_equal,1e-12,1.7347234759768071e-15,true
structural_level_4,dual_area_closure,less_equal,1e-12,4.218847493575595e-15,true
structural_level_4,net_force_residual,less_equal,1e-12,2.2129905479438756e-16,true
structural_level_4,radius_consistency,less_equal,1e-12,3.3306690738754696e-16,true
structural_level_4,maximum_position_displacement,equal,0,0,true
structural_level_4,position_hash_unchanged,equal,true,true,true
structural_level_4,state_hash_unchanged,equal,true,true,true
structural_level_4,force_buffer_norm_after,equal,0,0,true
structural_level_4,force_buffers_cleared,equal,true,true,true
time_level_1,common_roundoff_plateau,equal,false,false,true
time_level_1,differences_strictly_decreased,equal,true,true,1
time_level_1,minimum_time_order,greater_equal,0.75,0.9998306947275621,1
time_level_1,maximum_time_order,less_equal,1.25,1.0001045732496145,1
time_level_1,richardson_error,less_equal,1e-10,7.7320372326994402e-12,1
time_level_1,minimum_oriented_alignment,greater_than,0,0.99999999963499753,true
time_level_1,minimum_triangle_quality,greater_equal,0.05,0.95460619862409557,true
time_level_1,minimum_face_area_ratio,greater_equal,1e-4,0.99982762082227061,true
time_level_1,maximum_cache_residual,less_equal,1e-12,1.0819331721066333e-16,true
time_level_1,maximum_centroid_drift,less_equal,1e-2,1.8690926148238974e-16,true
time_level_1,maximum_positive_energy_residual,less_equal,1e-3,1.3274575598449844e-10,true
time_level_1,maximum_local_excursion_error,less_equal,0.25,0.10956703337520093,true
time_level_1,maximum_local_radial_error_over_h,less_equal,5e-4,1.766854521012907e-05,true
time_level_1,maximum_local_edge_scaling_error,less_equal,5e-4,8.1159777063355421e-06,true
time_level_1,minimum_local_quality_ratio,greater_equal,0.90,0.99999589738042227,true
time_level_1,readonly_controls,equal,true,true,1
time_level_1,overall,equal,true,true,1
time_level_4,common_roundoff_plateau,equal,false,false,true
time_level_4,differences_strictly_decreased,equal,true,true,1
time_level_4,minimum_time_order,greater_equal,0.75,0.9995896529799322,1
time_level_4,maximum_time_order,less_equal,1.25,1.000320280842622,1
time_level_4,richardson_error,less_equal,1e-10,1.3256062914024369e-13,1
time_level_4,minimum_oriented_alignment,greater_than,0,0.99999997288363007,true
time_level_4,minimum_triangle_quality,greater_equal,0.05,0.93750290702806216,true
time_level_4,minimum_face_area_ratio,greater_equal,1e-4,0.99983934208002201,true
time_level_4,maximum_cache_residual,less_equal,1e-12,1.1204248708301837e-16,true
time_level_4,maximum_centroid_drift,less_equal,1e-2,1.6882136130237922e-15,true
time_level_4,maximum_positive_energy_residual,less_equal,1e-3,1.3279069896530188e-10,true
time_level_4,maximum_local_excursion_error,less_equal,0.25,0.14907345589013393,true
time_level_4,maximum_local_radial_error_over_h,less_equal,5e-4,0.00018538803595970958,true
time_level_4,maximum_local_edge_scaling_error,less_equal,5e-4,4.8477198743013261e-06,true
time_level_4,minimum_local_quality_ratio,greater_equal,0.90,0.99999943972605432,true
time_level_4,readonly_controls,equal,true,true,1
time_level_4,overall,equal,true,true,1
time_cross_mesh,richardson_difference,less_equal,1e-10,7.5994766035591965e-12,1
v07,overall,equal,true,true,1
