family,source_level,group_id,valence,vertex_count,normal_absolute_error_mean,normal_absolute_error_maximum,normal_absolute_error_rms,tangential_speed_mean,tangential_speed_maximum,tangential_speed_rms
A,2,1,5,12,0.13450119078309963,0.13450119078310024,0.13450119078309966,3.9249035847283774e-16,5.4210108624275222e-16,4.090053593405829e-16
A,2,2,6,30,0.010189896617652813,0.010189896617656281,0.010189896617652811,2.8638685899683781e-16,4.5998802500501219e-16,3.0274294243283587e-16
A,2,3,6,60,0.0098875908205451855,0.0098875908205470903,0.0098875908205451821,0.0052225917776378408,0.005222591777638238,0.0052225917776378391
A,2,4,6,60,0.0060741016634724525,0.0060741016634743069,0.0060741016634724499,0.016578082397171519,0.016578082397171994,0.016578082397171522
A,3,1,5,12,0.14301365568111113,0.14301365568111399,0.14301365568111118,4.4653149239897306e-16,7.6664670834168702e-16,4.8843957384601067e-16
A,3,2,6,30,0.0043795558939560778,0.0043795558939633411,0.0043795558939560778,4.0930781165611298e-16,1.051173006585001e-15,4.6811694046244649e-16
A,3,3,6,60,0.0044403204961979154,0.0044403204962101695,0.0044403204961979146,0.0026156271449795467,0.0026156271449801942,0.0026156271449795476
A,3,4,6,60,8.1973080431086795e-05,8.1973080435972928e-05,8.1973080431086808e-05,0.0083465406302166423,0.008346540630217605,0.0083465406302166405
A,3,5,6,60,0.0026189824029130447,0.0026189824029227045,0.0026189824029130434,0.0030186361490490612,0.0030186361490497048,0.0030186361490490616
A,3,6,6,60,0.00053401676618403018,0.00053401676619125107,0.00053401676618403029,0.0020687691736563448,0.0020687691736575352,0.0020687691736563439
A,3,7,6,60,0.0025953364148547675,0.0025953364148603632,0.0025953364148547683,0.0019505111167475264,0.0019505111167481414,0.0019505111167475262
A,3,8,6,120,0.0016384944325691501,0.0016384944325781997,0.0016384944325691499,0.0082369992236509138,0.0082369992236517239,0.0082369992236509121
A,3,9,6,120,0.0023388862158549499,0.002338886215862146,0.0023388862158549503,0.0019133532863805113,0.0019133532863815125,0.0019133532863805107
A,3,10,6,60,0.001996343725786295,0.0019963437257902207,0.0019963437257862959,0.0025846019690745126,0.0025846019690752304,0.0025846019690745122
A,4,1,5,12,0.14517471037746837,0.14517471037747698,0.1451747103774684,1.4151236016358884e-15,2.3454879155195633e-15,1.5156226038271818e-15
A,4,2,6,30,0.0029057271459633641,0.0029057271459997577,0.002905727145963365,9.3874948088588509e-16,1.5561228623389324e-15,1.0342491976960555e-15
A,4,3,6,60,0.0030601032844462654,0.0030601032844808362,0.0030601032844462649,0.0013083330985045492,0.00130833309850559,0.0013083330985045488
A,4,4,6,60,0.0014390671652478107,0.0014390671652692207,0.0014390671652478111,0.0041805832202806139,0.0041805832202820225,0.0041805832202806131
A,4,5,6,60,0.0012350635701448968,0.0012350635701793237,0.0012350635701448964,0.0015095830269785866,0.0015095830269803332,0.0015095830269785868
A,4,6,6,60,0.00087845020015146801,0.0008784502001715766,0.00087845020015146834,0.0010357343780996026,0.001035734378102039,0.0010357343780996032
A,4,7,6,60,0.0012310518078770974,0.0012310518079194747,0.001231051807877097,0.00097538214393551412,0.00097538214393926438,0.00097538214393551401
A,4,8,6,120,0.00014532290088794248,0.00014532290091326221,0.00014532290088794243,0.0041254126973867241,0.0041254126973883053,0.0041254126973867249
A,4,9,6,120,0.00094236090980851666,0.00094236090985243791,0.00094236090980851699,0.00095848357177162017,0.00095848357177386598,0.00095848357177162028
A,4,10,6,60,0.00035707584691467678,0.00035707584693407679,0.00035707584691467684,0.0012948590291246961,0.0012948590291258668,0.001294859029124697
A,4,11,6,60,0.00066453850972296783,0.00066453850974725753,0.00066453850972296783,0.0015481129945309113,0.0015481129945327317,0.0015481129945309118
A,4,12,6,60,7.6502267526510487e-05,7.6502267549061892e-05,7.6502267526510487e-05,0.00025395865140001833,0.00025395865140097324,0.00025395865140001833
A,4,13,6,60,0.00066245008560707338,0.00066245008562091506,0.00066245008560707327,0.0014354260310785729,0.0014354260310812594,0.0014354260310785732
A,4,14,6,120,0.00013763641528502166,0.00013763641532201464,0.00013763641528502166,0.0010387915246709678,0.001038791524673085,0.0010387915246709678
A,4,15,6,120,0.00064653806499855102,0.00064653806503304698,0.00064653806499855113,0.00023385653550072274,0.00023385653550262931,0.00023385653550072268
A,4,16,6,60,0.00065800807341063116,0.00065800807345049728,0.00065800807341063127,0.0010386097452517891,0.0010386097452543606,0.0010386097452517896
A,4,17,6,120,0.00018199875746516679,0.0001819987574848414,0.00018199875746516676,0.00025561149093679115,0.00025561149093855493,0.00025561149093679132
A,4,18,6,120,0.00059330461220316426,0.00059330461223377866,0.00059330461220316458,0.0010399401340703794,0.0010399401340721282,0.0010399401340703794
A,4,19,6,60,0.00065677193448763843,0.00065677193450538671,0.00065677193448763821,0.00089168654686032107,0.00089168654686234462,0.00089168654686032107
A,4,20,6,120,0.00041773432187727663,0.00041773432190748624,0.00041773432187727674,0.0041182305225553268,0.0041182305225572809,0.0041182305225553268
A,4,21,6,120,0.00052713783361865024,0.00052713783365307756,0.00052713783361865046,0.00024277579240910915,0.00024277579241067945,0.00024277579240910917
A,4,22,6,120,0.0006402814553634114,0.00064028145540769368,0.00064028145536341129,0.00023577498541812715,0.00023577498541993818,0.00023577498541812718
A,4,23,6,120,0.00041739129319534883,0.00041739129321631367,0.00041739129319534883,0.0041027720418979913,0.0041027720419002586,0.0041027720418979913
A,4,24,6,120,0.0005933062016644597,0.00059330620170040121,0.00059330620166445991,0.00087745446350595145,0.00087745446350692409,0.00087745446350595124
A,4,25,6,120,0.00062214582720689971,0.00062214582724788234,0.00062214582720689939,0.00025373548613138482,0.00025373548613329822,0.00025373548613138493
A,4,26,6,60,0.00016497104935579189,0.00016497104937326923,0.00016497104935579186,0.00027209633865231012,0.00027209633865321939,0.00027209633865231018
A,4,27,6,60,0.00041590844014692107,0.00041590844017435138,0.00041590844014692112,0.00032507821112410585,0.00032507821112544413,0.0003250782111241059
A,4,28,6,120,0.00050933363868509141,0.00050933363871592981,0.00050933363868509152,0.0012966588239383063,0.0012966588239399224,0.0012966588239383069
A,4,29,6,120,0.00057806920594740427,0.00057806920597904855,0.00057806920594740427,0.00031681364828864498,0.00031681364829037846,0.00031681364828864482
A,4,30,6,60,0.00054997682486327066,0.00054997682488993477,0.00054997682486327077,0.00034544812142925688,0.00034544812143089669,0.00034544812142925688
A,5,1,5,12,0.14571706311377147,0.14571706311379637,0.14571706311377144,6.0034539004021418e-16,1.1727439577597816e-15,7.1055537856355765e-16
A,5,2,6,30,0.0025359245566355772,0.0025359245567528957,0.0025359245566355776,2.323236010375567e-15,5.3150793019612247e-15,2.7661804198538874e-15
A,5,3,6,60,0.0027138849024751018,0.002713884902626109,0.0027138849024751009,0.00065423079524177619,0.0006542307952454087,0.0006542307952417763
A,5,4,6,60,0.0018207851195531494,0.0018207851196069477,0.0018207851195531492,0.0020912097029903601,0.0020912097029918931,0.0020912097029903614
A,5,5,6,60,0.00088792717697590913,0.00088792717710872368,0.00088792717697590913,0.00075482349729576713,0.00075482349729812939,0.00075482349729576756
A,5,6,6,60,0.0012327835523314582,0.0012327835524038322,0.0012327835523314578,0.00051803666508376664,0.00051803666508724888,0.00051803666508376664
A,5,7,6,60,0.00088883697696713062,0.00088883697708431499,0.00088883697696713084,0.00048770630113369114,0.00048770630113541236,0.00048770630113369103
A,5,8,6,120,0.00022937528736188085,0.0002293752874962026,0.00022937528736188085,0.0020635742180726336,0.0020635742180759712,0.0020635742180726327
A,5,9,6,120,0.00059203125348365586,0.00059203125361622852,0.00059203125348365607,0.00047946845375245861,0.00047946845375598687,0.0004794684537524585
A,5,10,6,60,5.4431144819387711e-05,5.4431144923348246e-05,5.4431144819387718e-05,0.00064775074587897674,0.00064775074588267593,0.00064775074587897674
A,5,11,6,60,0.00031671350410374083,0.00031671350419885426,0.00031671350410374078,0.00077407798266739697,0.00077407798267154881,0.00077407798266739697
A,5,12,6,60,0.00027296631241092241,0.00027296631250435174,0.00027296631241092246,0.0001270177343493199,0.00012701773435221702,0.00012701773434931987
A,5,13,6,60,0.00031622698894639186,0.00031622698909851248,0.00031622698894639165,0.00071773053709923355,0.00071773053710144532,0.00071773053709923377
A,5,14,6,120,0.00021443076071219969,0.00021443076085071733,0.00021443076071219963,0.00051956135795934509,0.00051956135796324778,0.00051956135795934509
A,5,15,6,120,0.00029835265952540786,0.00029835265964576509,0.0002983526595254078,0.00011698539276882607,0.00011698539277299594,0.00011698539276882601
A,5,16,6,60,0.00031552875366608785,0.0003155287537333698,0.00031552875366608785,0.00051931341680086323,0.00051931341680620845,0.00051931341680086323
