family,source_level,region,vertex_count,control_area,normal_error_energy,fraction_of_total_error_energy,area_weighted_relative_rms,maximum_pointwise_relative_error
C,1,valence_5,12,2.7826018192878301,4.8035203480343177e-07,0.75180193223125569,0.10387099544087189,0.10956714380371381
C,1,valence_6,30,8.8684612651409491,1.5858225654350021e-07,0.24819806776874381,0.033430522821587358,0.044516912203981601
C,1,valence_5_closed_one_ring,42,11.651063084428783,6.3893429134693233e-07,1,0.058544396083844895,0.10956714380371381
C,2,valence_5,12,0.72038718155290793,2.1537977329299612e-07,0.92236149212402152,0.13669715570886568,0.13802311139862158
C,2,valence_6,150,11.6049915640821,1.8129295691462549e-08,0.077638507875979659,0.0098811629283531138,0.022422301308072049
C,2,valence_5_closed_one_ring,72,5.1340141427719068,2.2314616955540351e-07,0.95562099804464296,0.052120214751749556,0.13802311139862158
C,3,valence_5,12,0.18163555548291738,6.1491288735095707e-08,0.96369709655898617,0.14546093439153454,0.14682740256017679
C,3,valence_6,630,12.323685457562542,2.3164045272985523e-09,0.036302903441014236,0.003427495621375874,0.016575592636979431
C,3,valence_5_closed_one_ring,72,1.2775007018805495,6.1667012745043083e-08,0.96645105930176634,0.054927001398128825,0.14682740256017679
C,4,valence_5,12,0.045504917343512162,1.5880518591953757e-08,0.97446731585809832,0.14768731128790363,0.14907357087242268
C,4,valence_6,2550,12.505552516087333,4.1609632115864629e-10,0.02553268414189808,0.0014420672187917924,0.015104748179683514
C,4,valence_5_closed_one_ring,72,0.31891775245653442,1.5886065686227026e-08,0.97480769907896003,0.055796741647191214,0.14907357087242268
