branch,stage,local_face_id,local_0,local_1,local_2,persistent_0,persistent_1,persistent_2
frozen_main,before_split,0,0,2,1,0,2,1
frozen_main,before_split,1,3,0,1,3,0,1
frozen_main,before_split,2,2,0,4,2,0,4
frozen_main,before_split,3,2,4,6,2,4,6
frozen_main,before_split,4,5,2,6,5,2,6
frozen_main,before_split,5,2,5,1,2,5,1
frozen_main,before_split,6,7,0,3,7,0,3
frozen_main,before_split,7,0,7,4,0,7,4
frozen_main,before_split,8,5,3,1,5,3,1
frozen_main,before_split,9,3,5,7,3,5,7
frozen_main,before_split,10,6,4,5,6,4,5
frozen_main,before_split,11,4,7,5,4,7,5
frozen_main,after_split,0,2,1,8,2,1,8
frozen_main,after_split,1,2,8,0,2,8,0
frozen_main,after_split,2,2,0,4,2,0,4
frozen_main,after_split,3,2,4,6,2,4,6
frozen_main,after_split,4,5,2,6,5,2,6
frozen_main,after_split,5,2,5,1,2,5,1
frozen_main,after_split,6,7,0,3,7,0,3
frozen_main,after_split,7,0,7,4,0,7,4
frozen_main,after_split,8,5,3,1,5,3,1
frozen_main,after_split,9,3,5,7,3,5,7
frozen_main,after_split,10,6,4,5,6,4,5
frozen_main,after_split,11,4,7,5,4,7,5
frozen_main,after_split,12,3,0,8,3,0,8
frozen_main,after_split,13,3,8,1,3,8,1
frozen_main,before_merge_frozen,0,2,1,8,2,1,8
frozen_main,before_merge_frozen,1,2,8,0,2,8,0
frozen_main,before_merge_frozen,2,2,0,4,2,0,4
frozen_main,before_merge_frozen,3,2,4,6,2,4,6
frozen_main,before_merge_frozen,4,5,2,6,5,2,6
frozen_main,before_merge_frozen,5,2,5,1,2,5,1
frozen_main,before_merge_frozen,6,7,0,3,7,0,3
frozen_main,before_merge_frozen,7,0,7,4,0,7,4
frozen_main,before_merge_frozen,8,5,3,1,5,3,1
frozen_main,before_merge_frozen,9,3,5,7,3,5,7
frozen_main,before_merge_frozen,10,6,4,5,6,4,5
frozen_main,before_merge_frozen,11,4,7,5,4,7,5
frozen_main,before_merge_frozen,12,3,0,8,3,0,8
frozen_main,before_merge_frozen,13,3,8,1,3,8,1
frozen_main,after_merge_frozen,0,2,1,9,2,1,9
frozen_main,after_merge_frozen,2,2,9,4,2,9,4
frozen_main,after_merge_frozen,3,2,4,6,2,4,6
frozen_main,after_merge_frozen,4,5,2,6,5,2,6
frozen_main,after_merge_frozen,5,2,5,1,2,5,1
frozen_main,after_merge_frozen,6,7,9,3,7,9,3
frozen_main,after_merge_frozen,7,9,7,4,9,7,4
frozen_main,after_merge_frozen,8,5,3,1,5,3,1
frozen_main,after_merge_frozen,9,3,5,7,3,5,7
frozen_main,after_merge_frozen,10,6,4,5,6,4,5
frozen_main,after_merge_frozen,11,4,7,5,4,7,5
frozen_main,after_merge_frozen,13,3,9,1,3,9,1
