role,scope,criterion,operator,threshold,observed,passed,provenance,notes
historical_evidence,route_h_gate_a_v01,preserved_failure_status,equal,unchanged historical failure,"""failed_invalid_numerics""",false,,status is preserved by the v08 contract and excluded from revised acceptance logic
historical_evidence,v02_d1,preserved_failure_status,equal,unchanged historical failure,"""failed_instantaneous_smooth_surface_refinement""",false,,status is preserved by the v08 contract and excluded from revised acceptance logic
historical_evidence,v04_family_b,preserved_failure_status,equal,unchanged historical failure,"""failed_family_B_parameterized_diagnosis""",false,,status is preserved by the v08 contract and excluded from revised acceptance logic
revised_acceptance,D1_global_L2,h_rms_strictly_decreasing,equal,true,"[0.5846465833622684, 0.3007587447307266, 0.1514741410305466, 0.0758752187252943]",true,results/hybrid/x1_k_mesh_family_v05/family_c_levels.csv,
revised_acceptance,D1_global_L2,minimum_triangle_quality,>=,0.05,0.9375034322868092,true,results/hybrid/x1_k_mesh_family_v05/family_c_levels.csv,
revised_acceptance,D1_global_L2,minimum_face_to_mean_area_ratio,>=,0.01,0.7055696148270542,true,results/hybrid/x1_k_mesh_family_v05/family_c_levels.csv,
revised_acceptance,D1_global_L2,maximum_edge_ratio,<=,2.0,1.598009239165388,true,results/hybrid/x1_k_mesh_family_v05/family_c_levels.csv,
revised_acceptance,D1_global_L2,maximum_directional_residual,<=,1e-7,3.2170202692530195e-08,true,results/hybrid/x1_k_mesh_family_v05/family_c_levels.csv,
revised_acceptance,D1_global_L2,maximum_legacy_excluded_cache_ratio_error,<=,1e-6,1.7763568394002505e-15,true,results/hybrid/x1_k_mesh_family_v05/family_c_levels.csv,
revised_acceptance,D1_global_L2,maximum_normalized_net_force,<=,1e-12,3.328259002865581e-16,true,results/hybrid/x1_k_mesh_family_v05/family_c_levels.csv,
revised_acceptance,D1_global_L2,normal_errors_nonincreasing,equal,true,"[0.058544396083844895, 0.03441056060345361, 0.017857847447865338, 0.009008418460499743]",true,results/hybrid/x1_k_mesh_family_v05/family_c_levels.csv,
revised_acceptance,D1_global_L2,minimum_normal_actual_h_order,>=,0.5,"[0.7994923718410994, 0.9563007384792375, 0.9898148132375965]",true,results/hybrid/x1_k_mesh_family_v05/family_c_levels.csv,
revised_acceptance,D1_global_L2,finest_normal_error,<,0.02,0.009008418460499743,true,results/hybrid/x1_k_mesh_family_v05/family_c_levels.csv,
revised_acceptance,D1_global_L2,tangential_errors_nonincreasing,equal,true,"[0.024079009643659676, 0.012883427116400337, 0.005192115673290819, 0.00193459912826544]",true,results/hybrid/x1_k_mesh_family_v05/family_c_levels.csv,
revised_acceptance,D1_global_L2,minimum_tangential_actual_h_order,>=,0.5,"[0.9408749363956926, 1.3249877692957313, 1.4280424100311508]",true,results/hybrid/x1_k_mesh_family_v05/family_c_levels.csv,
revised_acceptance,D1_global_L2,finest_tangential_error,<,0.02,0.00193459912826544,true,results/hybrid/x1_k_mesh_family_v05/family_c_levels.csv,
revised_acceptance,D1_global_L2,quality_controlled_symmetry_breaking,max_size<=2 and count>=floor(N/2),true,"{""class_counts"": [21, 81, 321, 1281], ""maximum_class_sizes"": [2, 2, 2, 2]}",true,results/hybrid/x1_k_mesh_family_v05/family_c_symmetry_classes.csv;results/hybrid/x1_k_mesh_family_v05/family_c_symmetry_gate.csv,
revised_acceptance,D1_global_L2,valence_error_region_partition_and_one_ring_closure,equal,true,true,true,results/hybrid/x1_k_mesh_family_v05/family_c_error_regions.csv;results/hybrid/x1_k_mesh_family_v05/family_c_valence.csv;results/hybrid/x1_k_mesh_family_v05/family_c_valence5_one_ring.csv;results/hybrid/x1_k_mesh_family_v05/family_c_error_energy_orders.csv,
limitation,D1_extraordinary_vertices,valence_5_pointwise_not_improved,finest>=coarsest,true,"[0.10956714380371381, 0.13802311139862158, 0.1468274025601768, 0.14907357087242268]",true,results/hybrid/x1_k_mesh_family_v05/family_c_error_regions.csv,global L2 convergence is not pointwise or uniform convergence
revised_acceptance,S1_mean_radius,maximum_structural_r_H,<=,1e-12,4.201685312125912e-15,true,results/hybrid/x1_k_mean_radius_v07/structural_identity.csv,
revised_acceptance,S1_mean_radius,maximum_structural_r_v,<=,1e-12,1.734723475976807e-15,true,results/hybrid/x1_k_mean_radius_v07/structural_identity.csv,
revised_acceptance,S1_mean_radius,structural_readonly_supporting_controls,equal,true,true,true,results/hybrid/x1_k_mean_radius_v07/structural_identity.csv,
revised_acceptance,S1_mean_radius,level_1_time_consistency,"strict D decrease, p in [0.75,1.25], Richardson<=1e-10",true,"{""differences"": [3.216615862555727e-11, 1.608191357860278e-11, 8.041900478872321e-12], ""orders"": [1.0001045732496145, 0.9998306947275621], ""responses"": [0.9999199968563438, 0.9999199968241776, 0.9999199968080957, 0.9999199968000538], ""richardson_error"": 7.73203723269944e-12, ""richardson_response"": 0.9999199967920119, ""roundoff_plateau"": false}",true,results/hybrid/x1_k_mean_radius_v07/global_step_metrics.csv;results/hybrid/x1_k_mean_radius_v07/time_diagnosis.csv,
revised_acceptance,S1_mean_radius,level_4_time_consistency,"strict D decrease, p in [0.75,1.25], Richardson<=1e-10",true,"{""differences"": [3.200972820138759e-11, 1.6001311387014994e-11, 8.002931650707978e-12], ""orders"": [1.000320280842622, 0.9995896529799322], ""responses"": [0.9999199968636283, 0.9999199968316186, 0.9999199968156173, 0.9999199968076143], ""richardson_error"": 1.325606291402437e-13, ""richardson_response"": 0.9999199967996114, ""roundoff_plateau"": false}",true,results/hybrid/x1_k_mean_radius_v07/global_step_metrics.csv;results/hybrid/x1_k_mean_radius_v07/time_diagnosis.csv,
revised_acceptance,S1_mean_radius,cross_mesh_richardson_difference,<=,1e-10,7.599476603559197e-12,true,results/hybrid/x1_k_mean_radius_v07/global_step_metrics.csv;results/hybrid/x1_k_mean_radius_v07/time_diagnosis.csv,
historical_evidence,v06_mean_radius_spatial,historical_failed_not_rejudged,equal,failed,"{""errors"": [1.0439287051472873e-07, 1.6965749578041943e-07, 1.931183453395129e-07, 1.984083464348854e-07], ""orders"": [-0.7305866503451734, -0.1888361880551532, -0.03909027092934956]}",false,results/hybrid/x1_k_family_c_trajectory_v06/final_qoi_gate.csv,excluded from revised S1 acceptance logic
revised_acceptance,S1_area_ratio,analytic_and_self_spatial_convergence,"monotonic, actual-h orders>=0.5, finest<0.02",true,"{""adjacent_differences"": [0.002657806701111006, 0.0010043746147267141, 0.0002609420908516214], ""errors"": [0.004004814084522685, 0.0013470073834116786, 0.0003426327686849645, 8.169067783334312e-05], ""exact"": 0.99984, ""generalized_orders"": [1.4913944569775595, 1.9704701430205205], ""orders"": [1.639255680027239, 1.995909592313835, 2.0738722984581583], ""responses"": [0.9998393592297464, 0.9998397844788186, 0.999839945178757, 0.9998399869294915]}",true,results/hybrid/x1_k_family_c_trajectory_v06/final_qoi_gate.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_1_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_2_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_3_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_4_steps.csv,
revised_acceptance,S1_volume_ratio,analytic_and_self_spatial_convergence,"monotonic, actual-h orders>=0.5, finest<0.02",true,"{""adjacent_differences"": [0.0006565978954762797, 0.00021205339593433805, 3.4987546851762206e-05], ""errors"": [0.0009090595682097984, 0.0002524616727335188, 4.0408276799180734e-05, 5.4207299474185325e-06], ""exact"": 0.999760009600256, ""generalized_orders"": [1.7253079700644776, 2.631073547807773], ""orders"": [1.9274152351545766, 2.671296335090018, 2.905731394812876], ""responses"": [0.9997597914346869, 0.9997599490118783, 0.9997599999026575, 0.9997600082993329]}",true,results/hybrid/x1_k_family_c_trajectory_v06/final_qoi_gate.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_1_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_2_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_3_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_4_steps.csv,
revised_acceptance,S1_energy_ratio,analytic_and_self_spatial_convergence,"monotonic, actual-h orders>=0.5, finest<0.02",true,"{""adjacent_differences"": [0.002657806701111006, 0.0010043746147267141, 0.0002609420894638426], ""errors"": [0.004004814084522685, 0.0013470073834116786, 0.0003426327686849645, 8.16906792211219e-05], ""exact"": 0.99984, ""generalized_orders"": [1.4913944569775595, 1.9704701507566824], ""orders"": [1.639255680027239, 1.995909592313835, 2.0738722738847377], ""responses"": [0.9998393592297464, 0.9998397844788186, 0.999839945178757, 0.9998399869294913]}",true,results/hybrid/x1_k_family_c_trajectory_v06/final_qoi_gate.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_1_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_2_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_3_steps.csv;results/hybrid/x1_k_family_c_trajectory_v06/family_c_level_4_steps.csv,
