case,criterion,threshold,observed,passed
T1,state_observed_order,>=0.5,1.0004467223827034,true
T1,axis_observed_order,>=0.5,1.0004466394371907,true
T1,contraction_observed_order,>=0.5,1.0004466394354372,true
T1,area_observed_order,>=0.5,1.000446737190632,true
T1,volume_observed_order,>=0.5,1.0004466742744309,true
T1,active_energy_observed_order,>=0.5,1.0004457665779467,true
T1,coarse_normalized_positive_energy_residual,<=0.005,3.2857097751376663e-6,true
S1,area_observed_order,>=0.25,-0.99994175072770464,false
S1,registered_energy_observed_order,>=0.25,-0.99994175072770464,false
S1,volume_observed_order,>=0.25,0.9994846234517949,true
S1,maximum_base_fine_qoi_error,<=0.02,3.1998220180295966e-5,true
S1,maximum_normalized_positive_energy_residual,<=0.001,1.5200192547477984e-10,true
S1,minimum_triangle_quality,>=0.05,0.86599768533958354,true
S1,minimum_oriented_face_alignment,>0,0.99999999590388045,true
S1,minimum_face_area_ratio,>=0.0001,0.99980800386621127,true
S1,maximum_normalized_cache_residual,<=1e-12,2.4825341532472731e-16,true
X1-K,overall,all_required_cases_passed,failed_at_S1,false
