level,step,time,area_ratio,volume_ratio,energy_ratio,normalized_surface_centroid_drift,energy_balance_residual,minimum_oriented_face_alignment,minimum_triangle_quality,minimum_face_area_ratio,maximum_normalized_cache_residual
coarse,0,0,1,1,1,0,0,1,0.8660254037844386,1,0
coarse,1,0.0001,0.99999890000030511,0.99999840000084006,0.99999890000030522,1.2412670766236366e-16,3.6623572075012556e-14,0.999999999999995,0.86602536048314016,0.99999890000030511,1.3597399555105182e-16
coarse,2,0.00020000000000000001,0.99999780000062,0.99999680000246005,0.99999780000062011,0,3.6589305912996755e-14,0.99999999999998002,0.86602531718175968,0.99999780000061989,0
coarse,3,0.00030000000000000003,0.99999670000094498,0.99999520000485997,0.99999670000094498,2.4196749845665633e-16,3.6582794797200991e-14,0.99999999999995504,0.8660252738802966,0.99999670000094465,0
coarse,4,0.00040000000000000002,0.99999560000127996,0.99999360000803994,0.99999560000127996,9.6148134319178191e-17,3.6604038674685705e-14,0.99999999999992006,0.86602523057875158,0.99999560000127985,0
coarse,5,0.00050000000000000001,0.99999450000162493,0.99999200001199984,0.99999450000162493,5.5511151231257827e-17,3.6597526314810299e-14,0.99999999999987499,0.86602518727712419,0.99999450000162482,0
coarse,6,0.00060000000000000006,0.99999340000197978,0.99999040001674,0.99999340000197978,7.8504622934188758e-17,3.6577135558322148e-14,0.99999999999982003,0.86602514397541441,0.99999340000197978,1.3597399555105182e-16
coarse,7,0.00069999999999999999,0.99999230000234496,0.99998880002225976,0.99999230000234496,3.2368285245694688e-16,3.6626133158537919e-14,0.99999999999975497,0.86602510067362237,0.99999230000234474,1.3597399555105182e-16
coarse,8,0.00080000000000000004,0.99999120000271979,0.9999872000285599,0.99999120000271979,1.1102230246251565e-16,3.6577985635294057e-14,0.99999999999968003,0.86602505737174817,0.99999120000271979,1.6653345369377348e-16
coarse,9,0.00090000000000000008,0.99999010000310484,0.99998560003563997,0.99999010000310495,7.8504622934188758e-17,3.661310428303171e-14,0.99999999999959499,0.8660250140697916,0.99999010000310484,5.5511151231257827e-17
coarse,10,0.001,0.99998900000349999,0.99998400004349985,0.99998900000349999,7.8504622934188758e-17,3.660658887913165e-14,0.99999999999949996,0.86602497076775298,0.99998900000349988,5.5511151231257827e-17
coarse,11,0.0011000000000000001,0.99998790000390503,0.99998240005214001,0.99998790000390514,7.8504622934188758e-17,3.6613950707174034e-14,0.99999999999939504,0.86602492746563187,0.99998790000390492,5.5511151231257827e-17
coarse,12,0.0012000000000000001,0.99998680000431994,0.99998080006155965,0.99998680000432005,1.8410966031475738e-16,3.6593556430205196e-14,0.99999999999928002,0.86602488416342849,0.99998680000431983,0
coarse,13,0.0013000000000000002,0.99998570000474463,0.99997920007176011,0.99998570000474474,3.3306690738754696e-16,3.6559283677214274e-14,0.99999999999915501,0.86602484086114295,0.99998570000474496,0
coarse,14,0.0014,0.99998460000517975,0.99997760008274017,0.99998460000517975,1.9229626863835638e-16,3.6608277042265308e-14,0.99999999999902001,0.86602479755877493,0.99998460000517986,0
coarse,15,0.0015,0.99998350000562475,0.99997600009450016,0.99998350000562475,5.5511151231257827e-17,3.6601758726689492e-14,0.99999999999887501,0.86602475425632475,0.99998350000562475,5.5511151231257827e-17
coarse,16,0.0016000000000000001,0.99998240000607963,0.99997440010704031,0.99998240000607974,1.1102230246251565e-16,3.6595239775838966e-14,0.99999999999872002,0.86602471095379219,0.99998240000607974,1.1102230246251565e-16
